+2025-09-04 23:31:07,157 [0.0021719932556152344] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-09-04 23:31:09,214 [2.0594263076782227] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-09-04 23:31:09,216 [2.0614306926727295] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-09-04 23:31:09,254 [2.0989978313446045] PIL.PngImagePlugin DEBUG: STREAM b'IHDR' 16 13
+2025-09-04 23:31:09,254 [2.0989978313446045] PIL.PngImagePlugin DEBUG: STREAM b'pHYs' 41 9
+2025-09-04 23:31:09,254 [2.0989978313446045] PIL.PngImagePlugin DEBUG: STREAM b'IDAT' 62 8192
+2025-09-04 23:31:09,304 [2.1491918563842773] PIL.Image DEBUG: Importing BlpImagePlugin
+2025-09-04 23:31:09,304 [2.1491918563842773] PIL.Image DEBUG: Importing BmpImagePlugin
+2025-09-04 23:31:09,304 [2.1491918563842773] PIL.Image DEBUG: Importing BufrStubImagePlugin
+2025-09-04 23:31:09,304 [2.1491918563842773] PIL.Image DEBUG: Importing CurImagePlugin
+2025-09-04 23:31:09,304 [2.1491918563842773] PIL.Image DEBUG: Importing DcxImagePlugin
+2025-09-04 23:31:09,304 [2.1491918563842773] PIL.Image DEBUG: Importing DdsImagePlugin
+2025-09-04 23:31:09,304 [2.1491918563842773] PIL.Image DEBUG: Importing EpsImagePlugin
+2025-09-04 23:31:09,304 [2.1491918563842773] PIL.Image DEBUG: Importing FitsImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing FliImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing FpxImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Image: failed to import FpxImagePlugin: No module named 'olefile'
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing FtexImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing GbrImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing GifImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing GribStubImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing Hdf5StubImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing IcnsImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing IcoImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing ImImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing ImtImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing IptcImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing JpegImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing Jpeg2KImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing McIdasImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing MicImagePlugin
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Image: failed to import MicImagePlugin: No module named 'olefile'
+2025-09-04 23:31:09,319 [2.1641483306884766] PIL.Image DEBUG: Importing MpegImagePlugin
+2025-09-04 23:31:09,335 [2.180069923400879] PIL.Image DEBUG: Importing MpoImagePlugin
+2025-09-04 23:31:09,343 [2.1880545616149902] PIL.Image DEBUG: Importing MspImagePlugin
+2025-09-04 23:31:09,343 [2.1890549659729004] PIL.Image DEBUG: Importing PalmImagePlugin
+2025-09-04 23:31:09,344 [2.1890549659729004] PIL.Image DEBUG: Importing PcdImagePlugin
+2025-09-04 23:31:09,345 [2.1900553703308105] PIL.Image DEBUG: Importing PcxImagePlugin
+2025-09-04 23:31:09,345 [2.1900553703308105] PIL.Image DEBUG: Importing PdfImagePlugin
+2025-09-04 23:31:09,348 [2.1930618286132812] PIL.Image DEBUG: Importing PixarImagePlugin
+2025-09-04 23:31:09,349 [2.1940548419952393] PIL.Image DEBUG: Importing PngImagePlugin
+2025-09-04 23:31:09,349 [2.1940548419952393] PIL.Image DEBUG: Importing PpmImagePlugin
+2025-09-04 23:31:09,349 [2.1940548419952393] PIL.Image DEBUG: Importing PsdImagePlugin
+2025-09-04 23:31:09,349 [2.1940548419952393] PIL.Image DEBUG: Importing QoiImagePlugin
