+2026-05-09 16:40:26,725 [0.006521701812744141] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2026-05-09 16:40:29,193 [2.474381446838379] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-09 16:40:29,215 [2.496961832046509] PIL.PngImagePlugin DEBUG: STREAM b'IHDR' 16 13
+2026-05-09 16:40:29,215 [2.496961832046509] PIL.PngImagePlugin DEBUG: STREAM b'pHYs' 41 9
+2026-05-09 16:40:29,215 [2.496961832046509] PIL.PngImagePlugin DEBUG: STREAM b'IDAT' 62 8192
+2026-05-09 16:40:29,267 [2.548544406890869] PIL.Image DEBUG: Importing BlpImagePlugin
+2026-05-09 16:40:29,268 [2.549543857574463] PIL.Image DEBUG: Importing BmpImagePlugin
+2026-05-09 16:40:29,268 [2.549543857574463] PIL.Image DEBUG: Importing BufrStubImagePlugin
+2026-05-09 16:40:29,269 [2.550543785095215] PIL.Image DEBUG: Importing CurImagePlugin
+2026-05-09 16:40:29,269 [2.550543785095215] PIL.Image DEBUG: Importing DcxImagePlugin
+2026-05-09 16:40:29,270 [2.551543712615967] PIL.Image DEBUG: Importing DdsImagePlugin
+2026-05-09 16:40:29,272 [2.5535507202148438] PIL.Image DEBUG: Importing EpsImagePlugin
+2026-05-09 16:40:29,273 [2.5545568466186523] PIL.Image DEBUG: Importing FitsImagePlugin
+2026-05-09 16:40:29,274 [2.5555856227874756] PIL.Image DEBUG: Importing FliImagePlugin
+2026-05-09 16:40:29,274 [2.5555856227874756] PIL.Image DEBUG: Importing FpxImagePlugin
+2026-05-09 16:40:29,275 [2.5571117401123047] PIL.Image DEBUG: Image: failed to import FpxImagePlugin: No module named 'olefile'
+2026-05-09 16:40:29,275 [2.5571117401123047] PIL.Image DEBUG: Importing FtexImagePlugin
+2026-05-09 16:40:29,275 [2.5571117401123047] PIL.Image DEBUG: Importing GbrImagePlugin
+2026-05-09 16:40:29,275 [2.5571117401123047] PIL.Image DEBUG: Importing GifImagePlugin
+2026-05-09 16:40:29,275 [2.5571117401123047] PIL.Image DEBUG: Importing GribStubImagePlugin
+2026-05-09 16:40:29,276 [2.5580825805664062] PIL.Image DEBUG: Importing Hdf5StubImagePlugin
+2026-05-09 16:40:29,276 [2.5580825805664062] PIL.Image DEBUG: Importing IcnsImagePlugin
+2026-05-09 16:40:29,277 [2.559074878692627] PIL.Image DEBUG: Importing IcoImagePlugin
+2026-05-09 16:40:29,278 [2.5600764751434326] PIL.Image DEBUG: Importing ImImagePlugin
+2026-05-09 16:40:29,279 [2.561073064804077] PIL.Image DEBUG: Importing ImtImagePlugin
+2026-05-09 16:40:29,279 [2.561073064804077] PIL.Image DEBUG: Importing IptcImagePlugin
+2026-05-09 16:40:29,279 [2.561073064804077] PIL.Image DEBUG: Importing JpegImagePlugin
+2026-05-09 16:40:29,279 [2.561073064804077] PIL.Image DEBUG: Importing Jpeg2KImagePlugin
+2026-05-09 16:40:29,279 [2.561073064804077] PIL.Image DEBUG: Importing McIdasImagePlugin
+2026-05-09 16:40:29,280 [2.5621278285980225] PIL.Image DEBUG: Importing MicImagePlugin
