+2026-05-11 09:47:33,583 [0.016533613204956055] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2026-05-11 09:47:35,919 [2.352159023284912] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:36,072 [2.5049431324005127] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2026-05-11 09:47:36,092 [2.5250003337860107] PIL.PngImagePlugin DEBUG: STREAM b'IHDR' 16 13
+2026-05-11 09:47:36,092 [2.5250003337860107] PIL.PngImagePlugin DEBUG: STREAM b'pHYs' 41 9
+2026-05-11 09:47:36,092 [2.5250003337860107] PIL.PngImagePlugin DEBUG: STREAM b'IDAT' 62 8192
+2026-05-11 09:47:36,146 [2.5785789489746094] PIL.Image DEBUG: Importing BlpImagePlugin
+2026-05-11 09:47:36,155 [2.5877621173858643] PIL.Image DEBUG: Importing BmpImagePlugin
+2026-05-11 09:47:36,155 [2.5877621173858643] PIL.Image DEBUG: Importing BufrStubImagePlugin
+2026-05-11 09:47:36,162 [2.595280885696411] PIL.Image DEBUG: Importing CurImagePlugin
+2026-05-11 09:47:36,164 [2.5972821712493896] PIL.Image DEBUG: Importing DcxImagePlugin
+2026-05-11 09:47:36,181 [2.6138675212860107] PIL.Image DEBUG: Importing DdsImagePlugin
+2026-05-11 09:47:36,190 [2.6228811740875244] PIL.Image DEBUG: Importing EpsImagePlugin
+2026-05-11 09:47:36,198 [2.631382942199707] PIL.Image DEBUG: Importing FitsImagePlugin
+2026-05-11 09:47:36,215 [2.6479742527008057] PIL.Image DEBUG: Importing FliImagePlugin
+2026-05-11 09:47:36,217 [2.6499760150909424] PIL.Image DEBUG: Importing FpxImagePlugin
+2026-05-11 09:47:36,225 [2.658494472503662] PIL.Image DEBUG: Image: failed to import FpxImagePlugin: No module named 'olefile'
+2026-05-11 09:47:36,225 [2.658494472503662] PIL.Image DEBUG: Importing FtexImagePlugin
+2026-05-11 09:47:36,238 [2.6710195541381836] PIL.Image DEBUG: Importing GbrImagePlugin
+2026-05-11 09:47:36,249 [2.682537317276001] PIL.Image DEBUG: Importing GifImagePlugin
+2026-05-11 09:47:36,249 [2.682537317276001] PIL.Image DEBUG: Importing GribStubImagePlugin
+2026-05-11 09:47:36,251 [2.6840462684631348] PIL.Image DEBUG: Importing Hdf5StubImagePlugin
+2026-05-11 09:47:36,259 [2.6920535564422607] PIL.Image DEBUG: Importing IcnsImagePlugin
+2026-05-11 09:47:36,286 [2.7186038494110107] PIL.Image DEBUG: Importing IcoImagePlugin
+2026-05-11 09:47:36,295 [2.728269577026367] PIL.Image DEBUG: Importing ImImagePlugin
+2026-05-11 09:47:36,305 [2.7377665042877197] PIL.Image DEBUG: Importing ImtImagePlugin
+2026-05-11 09:47:36,307 [2.739769220352173] PIL.Image DEBUG: Importing IptcImagePlugin
+2026-05-11 09:47:36,313 [2.746346950531006] PIL.Image DEBUG: Importing JpegImagePlugin
+2026-05-11 09:47:36,315 [2.747814655303955] PIL.Image DEBUG: Importing Jpeg2KImagePlugin
+2026-05-11 09:47:36,315 [2.747814655303955] PIL.Image DEBUG: Importing McIdasImagePlugin
+2026-05-11 09:47:36,322 [2.755326986312866] PIL.Image DEBUG: Importing MicImagePlugin
+2026-05-11 09:47:36,331 [2.763842821121216] PIL.Image DEBUG: Image: failed to import MicImagePlugin: No module named 'olefile'
+2026-05-11 09:47:36,331 [2.763842821121216] PIL.Image DEBUG: Importing MpegImagePlugin
+2026-05-11 09:47:36,339 [2.7723608016967773] PIL.Image DEBUG: Importing MpoImagePlugin
+2026-05-11 09:47:36,385 [2.817861557006836] PIL.Image DEBUG: Importing MspImagePlugin
+2026-05-11 09:47:36,386 [2.8188588619232178] PIL.Image DEBUG: Importing PalmImagePlugin
+2026-05-11 09:47:36,396 [2.8293910026550293] PIL.Image DEBUG: Importing PcdImagePlugin
+2026-05-11 09:47:36,404 [2.8374505043029785] PIL.Image DEBUG: Importing PcxImagePlugin
+2026-05-11 09:47:36,404 [2.8374505043029785] PIL.Image DEBUG: Importing PdfImagePlugin
+2026-05-11 09:47:36,421 [2.8544864654541016] PIL.Image DEBUG: Importing PixarImagePlugin
+2026-05-11 09:47:36,423 [2.85648775100708] PIL.Image DEBUG: Importing PngImagePlugin
+2026-05-11 09:47:36,423 [2.85648775100708] PIL.Image DEBUG: Importing PpmImagePlugin
+2026-05-11 09:47:36,423 [2.85648775100708] PIL.Image DEBUG: Importing PsdImagePlugin
+2026-05-11 09:47:36,433 [2.8662238121032715] PIL.Image DEBUG: Importing QoiImagePlugin
+2026-05-11 09:47:36,440 [2.873213291168213] PIL.Image DEBUG: Importing SgiImagePlugin
+2026-05-11 09:47:36,448 [2.880737781524658] PIL.Image DEBUG: Importing SpiderImagePlugin
+2026-05-11 09:47:36,458 [2.8907651901245117] PIL.Image DEBUG: Importing SunImagePlugin
+2026-05-11 09:47:36,459 [2.8917672634124756] PIL.Image DEBUG: Importing TgaImagePlugin
+2026-05-11 09:47:36,468 [2.901508092880249] PIL.Image DEBUG: Importing TiffImagePlugin
+2026-05-11 09:47:36,468 [2.901508092880249] PIL.Image DEBUG: Importing WebPImagePlugin
+2026-05-11 09:47:36,479 [2.9124903678894043] PIL.Image DEBUG: Importing WmfImagePlugin
+2026-05-11 09:47:36,487 [2.920508623123169] PIL.Image DEBUG: Importing XbmImagePlugin
+2026-05-11 09:47:36,496 [2.9290311336517334] PIL.Image DEBUG: Importing XpmImagePlugin
+2026-05-11 09:47:36,505 [2.937548875808716] PIL.Image DEBUG: Importing XVThumbImagePlugin
+2026-05-11 09:47:38,150 [4.582617521286011] keyring.backend DEBUG: Loading KWallet
+2026-05-11 09:47:38,157 [4.589620113372803] keyring.backend DEBUG: Loading SecretService
+2026-05-11 09:47:38,164 [4.596619367599487] keyring.backend DEBUG: Loading Windows
+2026-05-11 09:47:38,225 [4.658148527145386] win32ctypes.core.cffi DEBUG: Loaded cffi backend
+2026-05-11 09:47:38,394 [4.827191591262817] keyring.backend DEBUG: Loading chainer
+2026-05-11 09:47:38,396 [4.829197645187378] keyring.backend DEBUG: Loading libsecret
+2026-05-11 09:47:38,407 [4.840196132659912] keyring.backend DEBUG: Loading macOS
+2026-05-11 09:47:38,433 [4.865713596343994] keyring.backend DEBUG: Loading Gnome
+2026-05-11 09:47:38,471 [4.903711557388306] keyring.backend DEBUG: Loading Google
+2026-05-11 09:47:38,481 [4.913712978363037] keyring.backend DEBUG: Loading Windows (alt)
+2026-05-11 09:47:38,508 [4.9410083293914795] keyring.backend DEBUG: Loading file
+2026-05-11 09:47:38,523 [4.956521987915039] keyring.backend DEBUG: Loading keyczar
+2026-05-11 09:47:38,523 [4.956521987915039] keyring.backend DEBUG: Loading multi
+2026-05-11 09:47:38,622 [5.0554680824279785] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:38,964 [5.397462606430054] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2026-05-11 09:47:38,965 [5.398462533950806] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:39,341 [5.7743895053863525] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2026-05-11 09:47:40,400 [6.83263373374939] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:40,496 [6.9291863441467285] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:41,075 [7.508174896240234] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2026-05-11 09:47:41,095 [7.528164386749268] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:41,444 [7.877390623092651] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2026-05-11 09:47:41,445 [7.878389596939087] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:41,823 [8.256474733352661] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2026-05-11 09:47:41,837 [8.269923448562622] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2026-05-11 09:47:41,855 [8.288491010665894] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:41,980 [8.412887811660767] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:42,651 [9.084287405014038] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2026-05-11 09:47:42,654 [9.087296724319458] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:42,976 [9.409379959106445] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 200 38
+2026-05-11 09:47:42,977 [9.410387992858887] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:43,366 [9.79941177368164] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/General/LoginPublisherAccountById HTTP/1.1" 200 38
+2026-05-11 09:47:43,378 [9.811075210571289] urllib3.connectionpool DEBUG: http://127.0.0.1:49152 "GET /authenticate HTTP/1.1" 200 16
+2026-05-11 09:47:43,389 [9.821711778640747] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:43,511 [9.944268465042114] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:44,525 [10.958381652832031] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:44,630 [11.062929630279541] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:45,642 [12.075424909591675] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:45,746 [12.179309844970703] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:46,777 [13.2099289894104] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:46,876 [13.309176683425903] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:47,912 [14.344576835632324] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:48,019 [14.451986312866211] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:49,046 [15.478949308395386] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:49,152 [15.585143327713013] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:50,188 [16.621212244033813] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2026-05-11 09:47:50,293 [16.72581672668457] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "POST /ShareWebServices/Services/Publisher/ReadPublisherLatestGlucoseValues HTTP/1.1" 429 18
+2026-05-11 09:47:51,329 [17.761701822280884] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
