+2025-10-29 16:25:41,527 [0.10568428039550781] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-10-29 16:25:43,767 [2.3460843563079834] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:43,767 [2.3460843563079834] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:44,184 [2.7631330490112305] PIL.PngImagePlugin DEBUG: STREAM b'IHDR' 16 13
+2025-10-29 16:25:44,184 [2.7631330490112305] PIL.PngImagePlugin DEBUG: STREAM b'pHYs' 41 9
+2025-10-29 16:25:44,184 [2.7631330490112305] PIL.PngImagePlugin DEBUG: STREAM b'IDAT' 62 8192
+2025-10-29 16:25:44,255 [2.834326982498169] PIL.Image DEBUG: Importing BlpImagePlugin
+2025-10-29 16:25:44,264 [2.8427014350891113] PIL.Image DEBUG: Importing BmpImagePlugin
+2025-10-29 16:25:44,264 [2.8427014350891113] PIL.Image DEBUG: Importing BufrStubImagePlugin
+2025-10-29 16:25:44,282 [2.86049485206604] PIL.Image DEBUG: Importing CurImagePlugin
+2025-10-29 16:25:44,290 [2.8685600757598877] PIL.Image DEBUG: Importing DcxImagePlugin
+2025-10-29 16:25:44,310 [2.8892245292663574] PIL.Image DEBUG: Importing DdsImagePlugin
+2025-10-29 16:25:44,319 [2.8976924419403076] PIL.Image DEBUG: Importing EpsImagePlugin
+2025-10-29 16:25:44,331 [2.9096803665161133] PIL.Image DEBUG: Importing FitsImagePlugin
+2025-10-29 16:25:44,348 [2.926475763320923] PIL.Image DEBUG: Importing FliImagePlugin
+2025-10-29 16:25:44,359 [2.9380807876586914] PIL.Image DEBUG: Importing FpxImagePlugin
+2025-10-29 16:25:44,363 [2.9416284561157227] PIL.Image DEBUG: Image: failed to import FpxImagePlugin: No module named 'olefile'
+2025-10-29 16:25:44,363 [2.9416284561157227] PIL.Image DEBUG: Importing FtexImagePlugin
+2025-10-29 16:25:44,381 [2.95951509475708] PIL.Image DEBUG: Importing GbrImagePlugin
+2025-10-29 16:25:44,382 [2.9605648517608643] PIL.Image DEBUG: Importing GifImagePlugin
+2025-10-29 16:25:44,382 [2.9605648517608643] PIL.Image DEBUG: Importing GribStubImagePlugin
+2025-10-29 16:25:44,399 [2.9782135486602783] PIL.Image DEBUG: Importing Hdf5StubImagePlugin
+2025-10-29 16:25:44,410 [2.9889273643493652] PIL.Image DEBUG: Importing IcnsImagePlugin
+2025-10-29 16:25:44,460 [3.039165735244751] PIL.Image DEBUG: Importing IcoImagePlugin
+2025-10-29 16:25:44,477 [3.0558664798736572] PIL.Image DEBUG: Importing ImImagePlugin
+2025-10-29 16:25:44,494 [3.0723958015441895] PIL.Image DEBUG: Importing ImtImagePlugin
+2025-10-29 16:25:44,506 [3.084839105606079] PIL.Image DEBUG: Importing IptcImagePlugin
+2025-10-29 16:25:44,519 [3.0981922149658203] PIL.Image DEBUG: Importing JpegImagePlugin
+2025-10-29 16:25:44,519 [3.0981922149658203] PIL.Image DEBUG: Importing Jpeg2KImagePlugin
+2025-10-29 16:25:44,519 [3.0981922149658203] PIL.Image DEBUG: Importing McIdasImagePlugin
+2025-10-29 16:25:44,528 [3.106706142425537] PIL.Image DEBUG: Importing MicImagePlugin
+2025-10-29 16:25:44,544 [3.1228206157684326] PIL.Image DEBUG: Image: failed to import MicImagePlugin: No module named 'olefile'
+2025-10-29 16:25:44,544 [3.1228206157684326] PIL.Image DEBUG: Importing MpegImagePlugin
+2025-10-29 16:25:44,549 [3.1274213790893555] PIL.Image DEBUG: Importing MpoImagePlugin
+2025-10-29 16:25:44,641 [3.219400405883789] PIL.Image DEBUG: Importing MspImagePlugin
+2025-10-29 16:25:44,650 [3.228518009185791] PIL.Image DEBUG: Importing PalmImagePlugin
+2025-10-29 16:25:44,662 [3.2403573989868164] PIL.Image DEBUG: Importing PcdImagePlugin
+2025-10-29 16:25:44,675 [3.2537524700164795] PIL.Image DEBUG: Importing PcxImagePlugin
+2025-10-29 16:25:44,675 [3.2537524700164795] PIL.Image DEBUG: Importing PdfImagePlugin
+2025-10-29 16:25:44,695 [3.2739992141723633] PIL.Image DEBUG: Importing PixarImagePlugin
+2025-10-29 16:25:44,711 [3.2901883125305176] PIL.Image DEBUG: Importing PngImagePlugin
+2025-10-29 16:25:44,711 [3.2901883125305176] PIL.Image DEBUG: Importing PpmImagePlugin
+2025-10-29 16:25:44,711 [3.2901883125305176] PIL.Image DEBUG: Importing PsdImagePlugin
+2025-10-29 16:25:44,720 [3.298872709274292] PIL.Image DEBUG: Importing QoiImagePlugin
+2025-10-29 16:25:44,736 [3.314781904220581] PIL.Image DEBUG: Importing SgiImagePlugin
+2025-10-29 16:25:44,742 [3.3204309940338135] PIL.Image DEBUG: Importing SpiderImagePlugin
+2025-10-29 16:25:44,758 [3.337080240249634] PIL.Image DEBUG: Importing SunImagePlugin
+2025-10-29 16:25:44,769 [3.3478217124938965] PIL.Image DEBUG: Importing TgaImagePlugin
+2025-10-29 16:25:44,777 [3.355938196182251] PIL.Image DEBUG: Importing TiffImagePlugin
+2025-10-29 16:25:44,777 [3.355938196182251] PIL.Image DEBUG: Importing WebPImagePlugin
+2025-10-29 16:25:44,795 [3.3739824295043945] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:25:44,830 [3.4092941284179688] PIL.Image DEBUG: Importing WmfImagePlugin
+2025-10-29 16:25:44,844 [3.4225502014160156] PIL.Image DEBUG: Importing XbmImagePlugin
+2025-10-29 16:25:44,861 [3.439568519592285] PIL.Image DEBUG: Importing XpmImagePlugin
+2025-10-29 16:25:44,871 [3.4503142833709717] PIL.Image DEBUG: Importing XVThumbImagePlugin
+2025-10-29 16:25:45,797 [4.375966548919678] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:45,797 [4.376994848251343] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:46,659 [5.237927436828613] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:25:47,702 [6.2808709144592285] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:47,703 [6.281480550765991] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:47,945 [6.523478984832764] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:25:48,947 [7.525743246078491] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:48,947 [7.525743246078491] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:49,493 [8.071601390838623] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
+2025-10-29 16:25:49,834 [8.412400484085083] urllib3.connectionpool DEBUG: Starting new HTTP connection (1): 127.0.0.1:49152
+2025-10-29 16:25:50,496 [9.07477355003357] status INFO: Requesting url: https://share2.dexcom.com/ShareWebServices/Services/General/AuthenticatePublisherAccount
+2025-10-29 16:25:50,496 [9.07477355003357] urllib3.connectionpool DEBUG: Starting new HTTPS connection (1): share2.dexcom.com:443
+2025-10-29 16:25:50,973 [9.551433324813843] urllib3.connectionpool DEBUG: https://share2.dexcom.com:443 "GET /ShareWebServices/Services/General/AuthenticatePublisherAccount HTTP/1.1" 405 176
